f1_83[0] | type=Tx | kind=text | page=1 | object=293_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8392704 | maxLength= | rect=36,131.961,172.05,155.962 | states= | onValues= | options=
f1_84[0] | type=Tx | kind=text | page=1 | object=294_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=172.8,131.961,223.2,143.962 | states= | onValues= | options=
f1_85[0] | type=Tx | kind=text | page=1 | object=295_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=223.2,131.961,273.6,143.962 | states= | onValues= | options=
f1_86[0] | type=Tx | kind=text | page=1 | object=296_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=273.6,131.961,337.65,143.962 | states= | onValues= | options=
f1_87[0] | type=Tx | kind=text | page=1 | object=297_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=338.4,131.961,402.45,143.962 | states= | onValues= | options=
f1_88[0] | type=Tx | kind=text | page=1 | object=298_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=403.2,131.961,446.4,143.962 | states= | onValues= | options=
f1_89[0] | type=Tx | kind=text | page=1 | object=299_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=446.4,131.961,510.45,143.962 | states= | onValues= | options=
f1_90[0] | type=Tx | kind=text | page=1 | object=300_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=511.2,131.961,576,143.962 | states= | onValues= | options=
f1_91[0] | type=Tx | kind=text | page=1 | object=277_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=273.6,71.969,337.65,83.97 | states= | onValues= | options=
f1_92[0] | type=Tx | kind=text | page=1 | object=278_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=338.4,71.969,402.45,83.97 | states= | onValues= | options=
f1_93[0] | type=Tx | kind=text | page=1 | object=279_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388609 | maxLength= | rect=403.2,71.969,446.4,83.97 | states= | onValues= | options=
f1_94[0] | type=Tx | kind=text | page=1 | object=280_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=446.4,71.969,510.45,83.97 | states= | onValues= | options=
f1_95[0] | type=Tx | kind=text | page=1 | object=281_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=511.2,71.969,576,83.97 | states= | onValues= | options=
f2_01[0] | type=Tx | kind=text | page=2 | object=381_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=36,719.969,366.45,733.97 | states= | onValues= | options=
f2_02[0] | type=Tx | kind=text | page=2 | object=382_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags= | maxLength=11 | rect=368.2,719.969,576,733.97 | states= | onValues= | options=
c2_1[0] | type=Btn | kind=checkbox | page=2 | object=383_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=50.4,566.22,58.4,574.22 | states=1,Off | onValues=1 | options=
c2_1[1] | type=Btn | kind=checkbox | page=2 | object=384_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=50.4,554.221,58.4,562.221 | states=2,Off | onValues=2 | options=
c2_1[2] | type=Btn | kind=checkbox | page=2 | object=385_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=50.4,542.219,58.4,550.219 | states=3,Off | onValues=3 | options=
c2_1[3] | type=Btn | kind=checkbox | page=2 | object=386_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=50.4,530.22,58.4,538.22 | states=4,Off | onValues=4 | options=
